Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"1614",28.39392,40.03471,"Bursa","Mustafakemalpaşa",2.30297096583,2.00343873933,1.05917337945,82.9235799049499,82.96870429394383,92.6356509469,92.8937577362
"1024",27.974028,40.047475,"Balıkesir","Manyas",51.786458456,60.683568135,21.1488647431,83.88401210659215,84.38497787382258,93.200564737,93.457111379
"1642",29.179435,40.410343,"Bursa","Gemlik",11.2875500158,18.4886190528,4.87930205349,87.55614141832494,87.59887949071609,93.4055346654,93.6615198795
"1621",28.97558,40.22686,"Bursa","Nilüfer",9.37650136885,13.5490300944,5.04792824558,85.77586680983919,85.81949146285216,93.6647673826,93.9200460437
"7711",29.32709,40.65942,"Yalova","Çiftlikköy",18.2136225446,18.7725525437,12.3253537686,90.88658942584036,90.92776212700146,93.8735884582,94.1283007922
"1726",27.300073,40.401827,"Çanakkale","Biga",10.7679089995,12.904722197,7.82235513242,90.1329093886518,90.81431493786232,94.5854105491,94.8382111216
"1646",28.968037,40.209078,"Bursa","Nilüfer",8.817473313,13.1998013073,5.18748459638,86.75038370919599,86.7935185463524,94.7525540967,95.0049099145
"3902",27.32483,41.35705,"Kırklareli","Lüleburgaz",15.9538373518,11.4652838557,5.33850967285,88.44045908192898,89.13480378276873,94.8191624206,95.0713414345
"7709",29.30603,40.56416,"Yalova","Yalova Merkez",27.9985275508,35.8004393587,18.7724909838,91.30728580157881,91.34826888570181,95.3311974946,95.5820255893
"4132",29.3813,40.83046,"Kocaeli","Çayırova",13.5941492755,18.3984976786,5.27734617307,94.64349583209606,94.68303486519254,95.6845500549,95.9344542863
"1635",29.258702,40.449648,"Bursa","Orhangazi",30.5562217244,42.0743758779,10.812379411,91.73274580708707,91.77353889477584,96.9665175004,97.2131262545
"1649",29.095913,40.265783,"Bursa","Osmangazi",16.8331594005,15.7237901621,7.66942652153,90.4722653855122,90.51362655396055,97.6683700071,97.9132110588
"1631",29.2993,40.49411,"Bursa","Orhangazi",53.0158080815,31.1990741082,9.69038318187,93.10791563078445,93.14810648141247,97.8175647575,98.0620333008
"5904",27.12256,40.61485,"Tekirdağ","Şarköy",29.4019825691,20.8566281488,15.1890756514,96.62017879033397,97.2561432108349,98.3734700413,98.6165605158
"1627",29.07518,40.22566,"Bursa","Osmangazi",18.6750014937,16.8541641837,6.17649645052,92.01207253043316,92.05274183482518,99.5120750053,99.7523908077
"1650",29.05789,40.206197,"Bursa","Osmangazi",15.2359720317,15.7321913766,5.61169521065,92.38958039524042,92.43008359604504,100.055150725,100.294165267
